City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1698,Zinder,NE,87.76,clear sky,13.8072,8.9881,Hotel de Ville
1699,Kakonko,TZ,80.8,broken clouds,-3.2828,30.9642,Edward Memorial Guest House
1700,Pokhara,NP,78.53,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
1701,Namwala,ZM,76.93,clear sky,-15.7504,26.4384,Corner Point Lodge
1708,Palmas Bellas,PA,75.02,overcast clouds,9.2319,-80.0867,Antigua Residencia Galván
1710,Danville,US,77.09,broken clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
1716,Cedartown,US,76.75,clear sky,34.0537,-85.255,Quality Inn
1719,Shar,KZ,75.54,broken clouds,49.5886,81.0453,
1723,Wilmington,US,80.51,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
1726,Mazagao,BR,75.25,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
1728,Kibaya,TZ,78.28,clear sky,-5.3,36.5667,Lusaka Hotel
1734,Taywarah,AF,78.26,clear sky,33.35,64.4167,
1741,Beroroha,MG,86.92,clear sky,-21.6667,45.1667,
1748,Pernem,IN,80.38,few clouds,15.7167,73.8,Om Kairos
1750,Pavlikeni,BG,81.68,few clouds,43.2428,25.3219,Amigos
1755,Bilokurakyne,UA,81.63,broken clouds,49.5341,38.7307,ГОСТИНИЦА ЮБИЛЕЙНАЯ( ПАЛУБА)
1759,Butajira,ET,78.42,overcast clouds,8.1167,38.3667,እናት መናፈሻ ( Enat Menafesha)
1760,Aquiraz,BR,77.09,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
1762,Nisia Floresta,BR,75.58,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
1765,Lazurne,UA,78.67,scattered clouds,46.084,32.5295,New Manna Hostel
1766,Zarautz,ES,87.75,overcast clouds,43.2844,-2.1699,Hotel Zarauz
1771,Sokoni,TZ,84.06,few clouds,-6.4333,39.55,Ujamaa Beach Resort
1773,Germantown,US,75.61,light rain,39.1732,-77.2717,Fairfield Inn & Suites by Marriott Germantown Gaithersburg
1775,Edremit,TR,85.75,few clouds,39.5961,27.0244,Adramis Thermal Hotel
1777,Darovskoy,RU,75.0,overcast clouds,58.77,47.9564,"Hotel ""Central"""
1778,Sanandaj,IR,86.02,clear sky,35.3144,46.9923,Sanandaj Tourist Hotel
1779,Caorle,IT,82.42,few clouds,45.5966,12.8758,Maxim
1780,Veydelevka,RU,78.62,broken clouds,50.1521,38.4492,
1781,Vila Do Maio,CV,75.99,overcast clouds,15.1333,-23.2167,Hotel Marilu
1783,Lukovit,BG,80.06,scattered clouds,43.2,24.1667,Хотел Дипломат парк
1786,Dondo,MZ,78.19,clear sky,-19.6094,34.7431,Arco Iris
1787,Qurayyat,SA,84.38,clear sky,31.3318,37.3428,Resorts Kandel
1790,Passy,FR,78.82,clear sky,45.9203,6.6877,Auberge de l'Orangerie
1797,Ponnani,IN,85.32,broken clouds,10.767,75.9252,Rouba Residency
1799,Jiwani,PK,84.97,clear sky,25.05,61.7417,Hamza hotel jiwani
1801,Yuganets,RU,77.9,overcast clouds,56.2508,43.2307,"Terem: Sauna, Kafe, Bil'yard, Gostinitsa."
1807,Front Royal,US,76.6,clear sky,38.9182,-78.1944,Hampton Inn Front Royal
1808,Laguna De Perlas,NI,75.47,overcast clouds,12.3429,-83.6712,Hotel Best View
1809,Adwa,ET,87.94,overcast clouds,14.1646,38.8955,Maay Assa Hotel
1812,Wattegama,LK,88.29,light rain,6.7989,81.4808,
1821,Lukuledi,TZ,87.48,clear sky,-10.5667,38.8,
1824,Qobustan,AZ,82.42,clear sky,40.0824,49.412,
1826,Ouango,CF,86.4,overcast clouds,4.3133,22.5552,
1828,Fuengirola,ES,83.84,clear sky,36.54,-4.6247,Hotel Las Palmeras
1831,Zulueta,ES,85.68,clear sky,42.7451,-1.5793,Hotel Pamplona Cross Elorz
1832,Humacao,PR,80.37,scattered clouds,18.1497,-65.8274,Quebrada Calle Cruz de Malta
1838,Casablanca,MA,80.62,mist,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
1839,Nezlobnaya,RU,75.34,overcast clouds,44.1181,43.4028,Otel' Randevu
1843,Iglesias,IT,87.53,clear sky,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
1848,Jaque,PA,75.63,light rain,7.5175,-78.1703,Aventuras Jaque S.A
1849,Zalegoshch,RU,75.06,clear sky,52.9008,36.8869,Inn Usadba
1854,Gwadar,PK,86.04,clear sky,25.1216,62.3254,Sadaf Resort
1858,Severnyy,RU,80.64,clear sky,50.677,36.5532,Full House North Mini-Hotel
1859,Ziniare,BF,75.24,overcast clouds,12.5822,-1.2983,Privilège Hôtel de Ziniaré
1860,Cotonou,BJ,85.98,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
1862,Monopoli,IT,88.72,broken clouds,40.9559,17.2896,Il Melograno
1864,Mobaye,CF,85.75,overcast clouds,4.319,21.1786,
1867,Kiboga,UG,87.19,scattered clouds,0.9161,31.7742,Marie Lustenberger Guest House
1868,Tabuk,PH,84.27,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
1872,Banes,CU,76.66,few clouds,20.9625,-75.7186,Hostal Iván y yailet
1877,Ochakiv,UA,77.85,scattered clouds,46.6128,31.5498,Briz
1882,Homa Bay,KE,76.75,clear sky,-0.5273,34.4571,ACK Guest House - Homa Bay
1883,Jeremie,HT,77.63,broken clouds,18.65,-74.1167,Auberge’Inn
1888,Uyo,NG,84.52,light rain,5.0333,7.9266,Economy Lodge
1890,Luena,AO,79.81,clear sky,-11.7833,19.9167,Hotel Kandamba
1891,Kangaba,ML,89.01,clear sky,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
1892,Clearwater,US,80.92,scattered clouds,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
1894,Brazzaville,CG,77.31,overcast clouds,-4.2658,15.2832,Hotel Muesse
1897,Korablino,RU,75.18,clear sky,53.9164,40.0133,Mini-Otel' Bazilik Korablino
1898,New Port Richey,US,80.96,few clouds,28.2442,-82.7193,Quality Inn & Suites Conference Center
1901,Vikersund,NO,75.06,few clouds,59.9659,9.995,Tyrifjord Hotell
1902,Abhar,IR,87.57,clear sky,36.1468,49.218,Hotel Got7
1909,Baraolt,RO,76.64,broken clouds,46.0751,25.6003,Castle Hotel Daniel
1910,Mporokoso,ZM,81.21,clear sky,-9.3727,30.125,Government Guest House
1911,Ponazyrevo,RU,76.14,overcast clouds,58.3578,46.3142,"Ovsyanitsa, Motel'"
1912,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
1923,Reni,UA,78.55,broken clouds,45.4573,28.2932,"Gostinitsa ""Iuzhnyi"""
1924,Maniago,IT,79.14,few clouds,46.1706,12.7078,Hotel Al Giardino
1928,Conil,FR,76.71,few clouds,44.9673,3.7177,La Cabourne
1932,Oliveira Do Hospital,PT,85.23,overcast clouds,40.3618,-7.8601,Casa da Bezerra
1933,Port Charlotte,US,79.0,clear sky,26.9762,-82.0906,Knights Inn Port Charlotte
1938,Chirnogi,RO,85.64,broken clouds,44.1167,26.5667,Casa Taraneasca
1944,Jijiga,ET,79.99,overcast clouds,9.35,42.8,RAMAAS HOTEL
1945,Midland,US,81.27,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
1950,Kathu,TH,89.69,broken clouds,7.9178,98.3332,Novotel Phuket Resort
