City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Sao Miguel Do Araguaia,BR,2022-06-12 06:22:03,-13.275,-50.1628,67.96,64,80,5.57
179,Berlevag,NO,2022-06-12 06:22:04,70.8578,29.0864,58.95,72,75,2.3
180,Channel-Port Aux Basques,CA,2022-06-12 06:22:04,47.5702,-59.1367,50.54,87,99,6.35
181,Aksehir,TR,2022-06-12 06:22:04,38.3575,31.4164,64.96,58,12,4.27
182,Asyut,EG,2022-06-12 06:22:05,27.181,31.1837,90.3,29,0,12.64
183,Murgab,TM,2022-06-12 06:22:05,37.4966,61.9714,84.07,34,0,9.22
184,Rosa Zarate,EC,2022-06-12 06:22:06,0.3333,-79.4667,72.41,96,91,1.7
185,Taguatinga,BR,2022-06-12 06:22:07,-12.3857,-46.5711,75.33,38,98,2.21
186,La Asuncion,VE,2022-06-12 06:22:07,11.0333,-63.8628,80.33,89,72,14.97
187,Belyy Yar,RU,2022-06-12 06:22:09,53.6039,91.3903,85.86,36,0,15.66
188,Tocache,PE,2022-06-12 06:23:09,-8.1842,-76.5125,66.2,96,80,0.78
189,Puerto Del Rosario,ES,2022-06-12 06:23:09,28.5004,-13.8627,69.55,78,20,11.5
190,Thunder Bay,CA,2022-06-12 06:20:34,48.4001,-89.3168,46.31,87,0,3.44
191,Narsaq,GL,2022-06-12 06:23:10,60.9167,-46.05,48.42,81,100,8.93
192,Brae,GB,2022-06-12 06:23:10,60.3964,-1.353,51.62,88,94,22.06
193,Waddan,LY,2022-06-12 06:23:11,29.1614,16.139,71.73,61,0,7.16
194,Sanchi,IN,2022-06-12 06:23:11,23.4833,77.7333,87.12,33,89,8.55
195,Guaruja,BR,2022-06-12 06:23:11,-23.9931,-46.2564,61.9,26,100,3.53
196,Mweka,CD,2022-06-12 06:23:11,-4.85,21.5667,70.16,59,31,2.57
197,Leshukonskoye,RU,2022-06-12 06:23:12,64.8989,45.7622,60.94,37,10,0.89
198,Kalmunai,LK,2022-06-12 06:23:12,7.4167,81.8167,88.57,57,100,1.41
199,Bengkulu,ID,2022-06-12 06:23:12,-3.8004,102.2655,83.64,68,90,5.99
200,Anloga,GH,2022-06-12 06:23:13,5.7947,0.8973,78.39,77,98,7.47
201,Santiago Del Estero,AR,2022-06-12 06:23:13,-27.7951,-64.2615,49.66,56,0,7.65
202,Vallenar,CL,2022-06-12 06:23:13,-28.5708,-70.7581,53.53,66,0,0.65
203,Zaozerne,UA,2022-06-12 06:23:14,45.1582,33.2787,75.49,64,100,18.37
204,Ostersund,SE,2022-06-12 06:22:52,63.1792,14.6357,55.85,76,20,10.36
205,Trondheim,NO,2022-06-12 06:22:31,63.4305,10.3951,62.65,79,87,3.0
206,Mahajanga,MG,2022-06-12 06:23:14,-15.7167,46.3167,78.82,53,0,6.91
207,Harper,LR,2022-06-12 06:23:14,4.375,-7.7169,76.89,84,100,5.21
208,Jalu,LY,2022-06-12 06:23:15,29.0331,21.5482,74.07,61,0,14.12
209,Ipu,BR,2022-06-12 06:23:15,-4.3222,-40.7108,68.99,98,43,1.81
210,Aksarka,RU,2022-06-12 06:23:15,66.5606,67.7975,50.2,81,100,22.62
211,Dalbandin,PK,2022-06-12 06:23:16,28.8947,64.4101,99.43,18,16,5.53
212,Chimbote,PE,2022-06-12 06:19:00,-9.0853,-78.5783,62.58,86,57,8.34
213,Nieuw Nickerie,SR,2022-06-12 06:23:16,5.95,-56.9833,76.3,88,71,9.6
214,Constitucion,CL,2022-06-12 06:19:12,-35.3333,-72.4167,48.81,73,77,2.86
215,Cesvaine,LV,2022-06-12 06:23:16,56.9667,26.3167,63.86,63,51,5.06
216,Carutapera,BR,2022-06-12 06:23:17,-1.195,-46.02,74.66,93,100,4.83
217,Urengoy,RU,2022-06-12 06:23:17,65.9667,78.3667,77.97,33,96,18.59
218,Dakar,SN,2022-06-12 06:23:17,14.6937,-17.4441,77.13,83,75,4.61
219,Noyabrsk,RU,2022-06-12 06:22:38,63.1994,75.4507,66.97,61,81,5.44
220,Cockburn Town,TC,2022-06-12 06:23:18,21.4612,-71.1419,80.8,86,91,19.6
221,Oranjestad,AW,2022-06-12 06:22:38,12.524,-70.027,82.35,74,20,23.02
222,Oriximina,BR,2022-06-12 06:23:18,-1.7656,-55.8661,72.54,95,67,2.35
223,Vestmannaeyjar,IS,2022-06-12 06:23:18,63.4427,-20.2734,49.21,82,91,18.99
224,Saint-Georges,GD,2022-06-12 06:23:19,12.0564,-61.7485,79.38,75,39,17.43
225,Comodoro Rivadavia,AR,2022-06-12 06:21:14,-45.8667,-67.5,51.66,37,0,2.3
226,Inirida,CO,2022-06-12 06:23:19,3.8653,-67.9239,71.78,99,100,3.78
227,Sao Filipe,CV,2022-06-12 06:23:19,14.8961,-24.4956,72.99,83,25,6.24
228,Rio Gallegos,AR,2022-06-12 06:21:32,-51.6226,-69.2181,35.65,80,0,10.09
229,Ambilobe,MG,2022-06-12 06:23:20,-13.2,49.05,80.01,44,13,4.09
230,Birao,CF,2022-06-12 06:23:20,10.2849,22.7882,79.57,65,65,3.67
231,Jacareacanga,BR,2022-06-12 06:23:20,-6.2222,-57.7528,71.87,88,100,2.37
232,Qurayyat,SA,2022-06-12 06:23:22,31.3318,37.3428,87.98,18,0,4.61
233,Coquimbo,CL,2022-06-12 06:24:23,-29.9533,-71.3436,51.53,87,100,5.75
234,Puerto Baquerizo Moreno,EC,2022-06-12 06:24:24,-0.9,-89.6,71.1,84,83,12.08
235,Sakaraha,MG,2022-06-12 06:24:25,-22.9,44.5333,68.92,61,0,7.43
236,Abu Kamal,SY,2022-06-12 06:24:26,34.4506,40.9171,93.07,20,0,8.59
237,Florianopolis,BR,2022-06-12 06:24:02,-27.6146,-48.5012,47.41,71,0,1.14
238,Caravelas,BR,2022-06-12 06:24:26,-17.7125,-39.2481,71.38,92,68,3.56
239,Pisco,PE,2022-06-12 06:24:26,-13.7,-76.2167,56.01,94,75,4.61
240,Solnechnyy,RU,2022-06-12 06:24:27,50.7214,136.6319,74.62,39,13,7.9
241,Mahanoro,MG,2022-06-12 06:24:27,-19.9,48.8,69.22,87,55,6.31
