City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Andenes,NO,69.3143,16.1194,48.18,87,75,14.97,broken clouds
238,Chapais,CA,49.7834,-74.8492,51.58,97,6,2.46,clear sky
239,San Juan Del Sur,NI,11.2529,-85.8705,74.46,92,97,5.57,overcast clouds
240,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,76,99,6.62,overcast clouds
241,Les Cayes,HT,18.2,-73.75,75.67,87,75,3.69,broken clouds
242,Mucurapo,TT,10.6667,-61.5333,75.02,89,100,5.55,overcast clouds
243,Melo,UY,-32.3667,-54.1833,45.63,94,10,5.17,clear sky
244,Andahuaylas,PE,-13.6556,-73.3872,41.86,84,9,3.06,clear sky
245,Plaster Rock,CA,46.9065,-67.39,55.92,99,58,2.73,broken clouds
246,Encantado,BR,-29.2361,-51.8697,45.05,99,15,3.44,few clouds
247,Caravelas,BR,-17.7125,-39.2481,71.83,69,100,9.64,overcast clouds
248,Hobyo,SO,5.3505,48.5268,87.17,56,5,24.18,clear sky
249,Boca Do Acre,BR,-8.7522,-67.3978,61.65,85,76,2.53,broken clouds
250,Taraz,KZ,42.9,71.3667,86.41,26,100,15.66,overcast clouds
251,Marsa Matruh,EG,31.3525,27.2453,80.8,57,40,13.8,scattered clouds
252,Jumla,NP,29.2747,82.1838,80.11,30,36,9.73,scattered clouds
253,Paragominas,BR,-2.9667,-47.4833,68.47,99,37,2.06,scattered clouds
254,Pshekhskaya,RU,44.696,39.7967,80.69,44,99,8.1,overcast clouds
255,Marawi,PH,7.9986,124.2928,74.8,89,86,0.72,light rain
256,Sillanwali,PK,31.8261,72.5398,114.15,11,0,5.14,clear sky
257,Mapiripan,CO,2.8892,-72.1256,65.8,97,100,5.66,overcast clouds
258,Cuenca,EC,-2.8833,-78.9833,44.73,100,100,2.3,overcast clouds
259,Zlutice,CZ,50.0919,13.163,66.31,43,66,4.79,broken clouds
260,Ostersund,SE,63.1792,14.6357,52.61,87,100,12.66,overcast clouds
261,Iquitos,PE,-3.7481,-73.2472,64.44,100,75,2.3,mist
262,Kargasok,RU,59.0556,80.8572,76.59,42,84,2.53,broken clouds
263,Pangody,RU,65.85,74.4859,58.12,81,100,10.85,light rain
264,Afrikanda,RU,67.4429,32.7828,58.91,61,48,3.22,scattered clouds
265,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,23.02,scattered clouds
266,Grand Gaube,MU,-20.0064,57.6608,79.2,51,82,11.01,broken clouds
267,Eydhafushi,MV,5.1033,73.0708,83.7,71,99,11.36,overcast clouds
268,Nouadhibou,MR,20.931,-17.0347,67.98,88,1,19.57,clear sky
269,Muhos,FI,64.808,25.9931,62.89,42,86,4.36,overcast clouds
270,Iralaya,HN,15.0,-83.2333,79.97,83,100,15.05,overcast clouds
271,Mugur-Aksy,RU,50.35,90.5,71.04,33,95,7.4,overcast clouds
272,Hakkari,TR,37.5833,44.1667,70.16,37,7,9.1,clear sky
273,Goreloye,RU,52.937,41.5043,75.83,58,9,9.31,clear sky
274,Odweyne,SO,9.4092,45.064,87.66,30,79,21.43,broken clouds
275,Lachi,PK,33.3833,71.3386,108.09,14,0,3.13,clear sky
276,Madison,US,34.7334,-86.5667,79.75,92,0,8.99,clear sky
277,Lokosovo,RU,61.1333,74.8167,65.28,59,78,8.66,broken clouds
278,Codrington,AU,-38.2667,141.9667,52.79,62,100,17.6,overcast clouds
279,Meulaboh,ID,4.1363,96.1285,84.04,71,52,9.64,broken clouds
280,Husavik,IS,66.0449,-17.3389,54.68,70,88,13.51,overcast clouds
281,Cayenne,GF,4.9333,-52.3333,76.08,1,100,0.0,mist
282,Mangrol,IN,21.1167,70.1167,88.45,64,35,11.77,scattered clouds
283,Ordu,TR,40.9086,37.6845,65.57,70,40,8.7,scattered clouds
284,Uvinza,TZ,-5.1036,30.3911,82.96,37,12,6.22,few clouds
285,Paramonga,PE,-10.6667,-77.8333,62.37,82,82,7.78,broken clouds
286,Sturgeon Bay,US,44.8342,-87.377,60.76,99,100,11.56,overcast clouds
287,Andujar,ES,38.0392,-4.0508,100.69,18,7,6.15,clear sky
